time,Q_total,dp_series,eva1.Qb_flow,eva1.T,eva1.U,eva1.level,eva1.m,eva1.p,eva2.Qb_flow,eva2.T,eva2.U,eva2.level,eva2.m,eva2.p,liquidFraction1,liquidFraction2,m_feed,m_out,m_series,massChange1,massChange2,r_energy1,r_energy2,r_energyTotal,r_mass1,r_mass2,r_massTotal,r_seriesEnergy,r_seriesMass
74.40000000000001,1800,103.9130929362818,1000,285.1012339244419,1255011.800933032,0.04999819167224558,24.98579596597537,1398.317249578453,800,283.9361824601289,1131845.523880765,0.04994602846794848,24.96278720974246,1294.404156642171,0.4999819167224557,0.4994602846794848,0.0004,0.0007552332531373703,0.0004156523717451273,-0.0008523044562807058,-0.02681539062130867,8.026290743146092e-11,2.582964953035116e-10,5.820766091346741e-10,-5.107676434579211e-15,3.098216128094577e-15,-2.012279232133096e-15,0,0
76.8,1800,103.9138078599212,1000,285.1004082353161,1254923.380085556,0.04999811183803284,24.9857583944253,1398.241080210507,800,283.9352904101376,1131715.207237302,0.04994439492817956,24.96197296440959,1294.327272350586,0.4999811183803284,0.4994439492817956,0.0004,0.0007546181788046888,0.0004156552314396849,-0.000889876006343826,-0.02762963595418455,1.798525772755966e-10,-1.182343112304807e-11,1.764419721439481e-10,-4.619134935657243e-15,4.721917301608869e-15,1.006139616066548e-16,0,0
79.2,1800,103.9116094251954,1000,285.0995827306684,1254834.979177569,0.04999803201992788,24.98572083018241,1398.164931509614,800,283.9344323581597,1131588.52281181,0.04994276443705395,24.96116015950606,1294.253322084418,0.4999803201992788,0.4994276443705395,0.0004,0.0007540265766753473,0.0004156464377007814,-0.0009274402492422951,-0.02844244085770598,-1.004991645459086e-10,1.418811734765768e-10,5.093170329928398e-11,-5.49224294515982e-15,3.840677775812651e-15,-1.654926196081874e-15,0,0
81.59999999999999,1800,103.906722588963,1000,285.0987580445742,1254746.66601071,0.0499979522752818,24.98568330012267,1398.088861959219,800,283.9336063775791,1131465.264763796,0.04994113682184883,24.96034871343818,1294.182139370256,0.4999795227528179,0.4994113682184882,0.0004,0.0007534571149620441,0.0004156268903558521,-0.0009649703089777972,-0.02925388692559139,-5.002220859751105e-12,-3.092281986027956e-11,-2.546585164964199e-11,-2.399881508796664e-15,2.997602166487923e-15,6.002143226879753e-16,0,0
84,1800,103.8993571715839,1000,285.0979347618845,1254658.503122472,0.04999787265699263,24.98564582903594,1398.01292549152,800,283.9328106640541,1131345.240321463,0.04993951192080892,24.95953854979194,1294.113568319936,0.4999787265699263,0.4993951192080892,0.0004,0.0007529085465594853,0.0004155974286863356,-0.001002441395709042,-0.03006405057183059,1.409716787748039e-10,-1.091393642127514e-11,1.400621840730309e-10,-1.301042606982605e-15,4.548444954011188e-15,3.247402347028583e-15,0,0
86.40000000000001,1800,103.8897088542481,1000,285.0971134215421,1254570.548140609,0.04999779321380518,24.98560843976635,1397.937171794251,800,283.9320435275669,1131228.268931553,0.04993788958243253,24.95872959699614,1294.047462940003,0.4999779321380518,0.4993788958243253,0.0004,0.0007523797035200204,0.0004155588354169922,-0.00103983066529878,-0.03087300336763121,1.364242052659392e-12,-2.128217602148652e-10,-1.982698449864984e-10,-8.321685354695241e-15,2.42861286636753e-17,-8.298917109073045e-15,0,0
88.8,1800,103.8779601110361,1000,285.0962945196764,1254482.854114418,0.04999771399059141,24.98557115334363,1397.86164659732,800,283.9313033849878,1131114.181464361,0.04993626966480445,24.95792178800731,1293.983686486284,0.4999771399059141,0.4993626966480444,0.0004,0.0007518694918902747,0.0004155118404441446,-0.001077117088012614,-0.0316808123564627,2.364686224609613e-11,-2.364686224609613e-11,-2.219167072325945e-10,-6.025345153370942e-15,6.689093723366568e-15,6.522560269672795e-16,0,0
91.2,1800,103.8642810796694,1000,285.0954785124987,1254395.469824193,0.04999763502861197,24.98553398910571,1397.786391940712,800,283.9305887531298,1131002.819470753,0.04993465203497199,24.95711506001519,1293.922110861043,0.4999763502861196,0.4993465203497198,0.0004,0.0007513768868883416,0.0004154571243186774,-0.001114281325932609,-0.03248754034858337,8.094502845779061e-11,6.730260793119669e-11,3.910827217623591e-10,1.490344306298574e-15,2.491062911502695e-15,3.975986206938842e-15,0,0
93.59999999999999,1800,103.8488303741271,1000,285.0946658190015,1254308.440069969,0.04999755636576065,24.98549696481312,1397.711446424325,800,283.9298982422608,1130894.034488614,0.04993303656836301,24.95630935416793,1293.862616050198,0.4999755636576065,0.4993303656836301,0.0004,0.0007509009284015865,0.0004153953214965085,-0.00115130561852439,-0.03329324619584284,-1.646185410209e-10,-2.019078237935901e-10,-3.54702933691442e-10,1.942022931356036e-15,2.109423746787797e-15,4.045375145977914e-15,0,0
96,1800,103.8317558434401,1000,285.0938568234785,1254221.805941036,0.04999747803679241,24.98546009675584,1397.636845441373,800,283.9292305500446,1130787.687395119,0.04993142314824218,24.95550461531532,1293.805089597933,0.499974780367924,0.4993142314824218,0.0004,0.000750440716783467,0.0004153270233737603,-0.001188173675803483,-0.03409798504845085,-6.366462912410498e-12,-1.873559085652232e-10,-4.147295840084553e-10,4.22817163225897e-15,2.80331313717852e-15,7.029099524658022e-15,0,0
