time,Q_total,dp_series,eva1.Qb_flow,eva1.T,eva1.U,eva1.level,eva1.m,eva1.p,eva2.Qb_flow,eva2.T,eva2.U,eva2.level,eva2.m,eva2.p,liquidFraction1,liquidFraction2,m_feed,m_out,m_series,massChange2,r_energy1,r_energy2,r_energyTotal,r_mass1,r_mass2,r_massTotal,r_seriesEnergy,r_seriesMass
744,1800,100.427697698324,1000,285.0229726594249,1246607.891342314,0.04998965609191604,24.981749765711,1391.113893962628,800,283.8929913112878,1117466.297054785,0.04950873278469541,24.74433726778608,1290.686196264304,0.4998965609191604,0.495087327846954,0.0004,0.0007254895701144341,0.0004017107907932959,-0.2452653325776915,2.728484105318785e-10,1.200533006340265e-09,1.262378646060824e-09,-5.134781488891349e-16,9.797718192317006e-15,9.436895709313831e-15,0,0
746.4,1800,100.4258526695633,1000,285.0229380185293,1246604.057094537,0.04998964770008954,24.98174566868994,1391.110712773459,800,283.8929757695752,1117429.627049488,0.04950717791895491,24.74356020269604,1290.684860103896,0.4998964770008954,0.4950717791895491,0.0004,0.0007254788808311641,0.000401703410678253,-0.2460423976677326,9.458744898438454e-11,8.076312951743603e-10,1.142325345426798e-09,-4.488596994089988e-15,1.162958618294851e-14,7.216449660063518e-15,0,0
748.8,1800,100.4240297922793,1000,285.022903793648,1246600.267319477,0.04998963934581527,24.98174158927417,1391.107569794533,800,283.8929604146382,1117392.976893536,0.0495056230699112,24.74278314549986,1290.683540002254,0.4998963934581527,0.495056230699112,0.0004,0.0007254683200180297,0.0004016961191691171,-0.2468194548639069,2.528395270928741e-10,8.294591680169106e-10,1.324224285781384e-09,-6.877311220510052e-15,1.498801083243961e-14,8.326672684688674e-15,0,0
751.2,1800,100.4222288008466,1000,285.0228699797921,1246596.521483864,0.04998963102864292,24.98173752725259,1391.104464567503,800,283.8929452442354,1117356.346348113,0.04950406823736339,24.74200609610257,1290.682235766657,0.4998963102864292,0.4950406823736339,0.0004,0.0007254578861332521,0.0004016889152033864,-0.2475965042612032,2.346496330574155e-10,1.000444171950221e-09,1.491571310907602e-09,-7.061191908963593e-15,4.052314039881821e-15,-2.831068712794149e-15,0,0
753.6,1800,100.4204494338078,1000,285.022836572051,1246592.819062716,0.0499896227481292,24.98173348241737,1391.101396641197,800,283.8929302561611,1117319.73517814,0.04950251342111377,24.74122905441069,1290.680947207389,0.499896227481292,0.4950251342111377,0.0004,0.0007254475776591134,0.0004016817977352311,-0.2483735459530791,3.92901711165905e-10,1.178705133497715e-09,1.818989403545856e-09,-5.565860272671586e-15,9.214851104388799e-15,3.774758283725532e-15,0,0
756,1800,100.4186914306629,1000,285.0228035655302,1246589.159532777,0.04998961450383227,24.98172945456139,1391.098365565919,800,283.8929154482146,1117283.143149292,0.04950095862096519,24.74045202033103,1290.679674135256,0.4998961450383227,0.4950095862096519,0.0004,0.0007254373930820456,0.0004016747657226515,-0.2491505800327438,3.819877747446299e-10,1.42244971357286e-09,2.05909600481391e-09,-1.462371890248448e-15,8.992806499463768e-15,7.66053886991358e-15,0,0
758.4,1800,100.4169545348807,1000,285.0227709554123,1246585.542379058,0.04998960629531721,24.98172544348075,1391.095370899067,800,283.8929008182326,1117246.570030968,0.04949940383672368,24.73967499377187,1290.678416364187,0.4998960629531721,0.4949940383672368,0.0004,0.0007254273309134933,0.0004016678181395227,-0.2499276065918963,5.456968210637569e-11,1.131411409005523e-09,1.433363649994135e-09,-7.04644675941779e-15,1.101896351940468e-14,4.163336342344337e-15,0,0
760.8,1800,100.4152384930799,1000,285.0227387369382,1246581.967092809,0.0499895981221545,24.98172144897408,1391.092412203388,800,283.8928863640763,1117210.015595375,0.04949784906819766,24.73889797464264,1290.677173710308,0.499895981221545,0.4949784906819766,0.0004,0.0007254173896824668,0.0004016609539723195,-0.2507046257211343,2.401066012680531e-10,1.004082150757313e-09,1.033185981214046e-09,-1.170070984546356e-15,8.548717289613705e-15,7.494005416219807e-15,0,0
763.2,1800,100.4135430546314,1000,285.0227069053998,1246578.433170678,0.04998958998391904,24.98171747084211,1391.089489046335,800,283.8928720836303,1117173.479617136,0.0494962943151975,24.73812096285369,1290.675945991703,0.4998958998391904,0.4949629431519749,0.0004,0.0007254075679336255,0.0004016541722185257,-0.2514816375100821,6.257323548197746e-10,1.160515239462256e-09,1.57160684466362e-09,-6.331740687315346e-15,5.939693181744587e-15,-2.220446049250313e-16,0,0
765.6,1800,100.4118679716407,1000,285.0226754561403,1246574.94011485,0.04998958188019051,24.98171350888779,1391.086601000066,800,283.892857974802,1117136.96187336,0.04949473957753571,24.73734395831639,1290.674733028425,0.4998958188019051,0.4949473957753571,0.0004,0.0007253978642274032,0.0004016474718865629,-0.25225864204738,6.220943760126829e-10,1.000444171950221e-09,1.637090463191271e-09,-2.556115041851825e-15,3.996802888650564e-15,1.609823385706477e-15,0,0
