time,Q_total,dp_series,eva1.Qb_flow,eva1.T,eva1.U,eva1.level,eva1.m,eva1.p,eva2.Qb_flow,eva2.T,eva2.U,eva2.level,eva2.m,eva2.p,liquidFraction1,liquidFraction2,m_feed,m_out,m_series,massChange2,r_energy1,r_energy2,r_energyTotal,r_mass1,r_mass2,r_massTotal,r_seriesEnergy,r_seriesMass
974.4,2500,138.1818697921383,1400,285.7816976111041,1322013.832989651,0.04983965874047799,24.90459201512054,1462.34477028173,1100,284.2780047727192,1152584.132076217,0.0493026890198239,24.64041462406101,1324.162900489592,0.4983965874047799,0.4930268901982389,0.0004,0.0009933032039167373,0.0005527274791685531,-0.3491879763027583,-1.055013854056597e-09,2.122760633938015e-09,1.033185981214046e-09,-2.345346139520643e-15,-2.231548279496565e-14,-2.498001805406602e-14,0,0
976.8,2500,138.2132375406434,1400,285.7822630781803,1322053.445060884,0.04983892829689505,24.90422531829002,1462.399031675365,1100,284.2782651252443,1152561.634143356,0.04930057444620648,24.63935717295548,1324.185794134721,0.4983892829689505,0.4930057444620648,0.0004,0.0009934863530777693,0.0005528529501625735,-0.3502454274082858,-1.447915565222502e-09,2.171873347833753e-09,9.313225746154785e-10,3.191891195797325e-16,-2.242650509742816e-14,-2.242650509742816e-14,0,0
979.2,2500,138.244214321955,1400,285.782821468831,1322092.300450662,0.04983819721178818,24.90385832220943,1462.452615762972,1100,284.2785222175614,1152538.790451673,0.04929845958087629,24.63829958429537,1324.208401441017,0.4983819721178818,0.4929845958087629,0.0004,0.0009936672115281361,0.0005529768572878201,-0.3513030160684032,-1.055013854056597e-09,2.122760633938015e-09,1.01863406598568e-09,4.399258735077183e-15,-2.547961841514734e-14,-2.142730437526552e-14,0,0
981.6,2500,138.2748049381173,1400,285.7833728711761,1322130.408590894,0.04983746549314944,24.90349103060909,1462.505530935522,1100,284.2787760906295,1152515.605359289,0.04929634442750889,24.63724185981434,1324.230725997405,0.4983746549314944,0.4929634442750889,0.0004,0.0009938458079792381,0.0005530992197524692,-0.3523607405494289,-1.01863406598568e-09,2.190063241869211e-09,9.022187441587448e-10,5.10702591327572e-15,-2.281508315604697e-14,-1.815214645262131e-14,0,0
984,2500,138.3050141346228,1400,285.7839173722547,1322167.778797639,0.04983673314887278,24.90312344717347,1462.557785482122,1100,284.2790267848893,1152492.083168606,0.04929422898973293,24.63618400122391,1324.252771347499,0.4983673314887277,0.4929422898973293,0.0004,0.0009940221707799956,0.000553220056538491,-0.3534185991398573,-1.171429175883532e-09,1.718944986350834e-09,2.764863893389702e-10,2.983724378680108e-15,-2.231548279496565e-14,-1.976196983832779e-14,0,0
986.4,2500,138.3348466010382,1400,285.7844550580384,1322204.420272661,0.04983600018675548,24.90275557554187,1462.609387591256,1100,284.2792743402682,1152468.228127612,0.0492921132711311,24.63512601021395,1324.274540990218,0.4983600018675548,0.492921132711311,0.0004,0.0009941963279217452,0.0005533393864041527,-0.3544765901498224,-1.047737896442413e-09,2.139131538569927e-09,1.047737896442413e-09,5.537237335317968e-15,-2.636779683484747e-14,-2.114974861910923e-14,0,0
988.8,2500,138.3643069807988,1400,285.7849860134235,1322240.342102537,0.04983526661449725,24.902387419308,1462.66034535008,1100,284.2795187960623,1152444.044416845,0.04928999727522937,24.63406788844752,1324.296038369281,0.4983526661449725,0.4928999727522937,0.0004,0.0009943683069542457,0.0005534572279231952,-0.3555347119162491,-1.222360879182816e-09,2.297383616678417e-09,1.033185981214046e-09,3.413935800722356e-15,-2.120525977034049e-14,-1.815214645262131e-14,0,0
991.2,2500,138.3933998597513,1400,285.7855103222697,1322275.55326283,0.04983453243970392,24.90201898202168,1462.710666747887,1100,284.2797601911055,1152419.536167635,0.04928788100551217,24.6330096375681,1324.317266888135,0.4983453243970392,0.4928788100551217,0.0004,0.0009945381351050817,0.0005535735994390052,-0.3565929627956734,-1.193257048726082e-09,1.942680682986975e-09,4.802132025361061e-10,3.538835890992686e-15,-2.586819647376615e-14,-2.264854970235319e-14,0,0
993.6,2500,138.4221297639979,1400,285.78602806742,1322310.062620119,0.04983379766988895,24.90165026718961,1462.760359678245,1100,284.2799985638188,1152394.707467096,0.0492857644654267,24.63195125920157,1324.338229914247,0.4983379766988895,0.492857644654267,0.0004,0.000994705839313974,0.0005536885190559914,-0.357651341162196,-1.251464709639549e-09,1.984517439268529e-09,4.802132025361061e-10,1.332267629550188e-15,-2.686739719592879e-14,-2.592370762499741e-14,0,0
996,2500,138.450501169295,1400,285.7865393306911,1322343.878931154,0.04983306231247296,24.90128127827505,1462.809431937738,1100,284.2802339520893,1152369.5623454,0.04928364765837213,24.6308927549512,1324.358930768443,0.4983306231247296,0.4928364765837213,0.0004,0.000994871446147541,0.0005538020046771798,-0.358709845412573,-1.251464709639549e-09,1.809894456528127e-09,7.566995918750763e-10,1.484923295436147e-15,-2.609024107869118e-14,-2.498001805406602e-14,0,0
